0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:53 -0300] "GET /angularjs_spring_mvc/inicial.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:55 -0300] "GET /angularjs_spring_mvc/agenda/autenticar HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:55 -0300] "GET /angularjs_spring_mvc/inicialEquipamento.html HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:56 -0300] "GET /angularjs_spring_mvc/equipamento/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:56 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:03 -0300] "GET /angularjs_spring_mvc/equipamento/cadastro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:03 -0300] "GET /angularjs_spring_mvc/fabricante/listar HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:22 -0300] "POST /angularjs_spring_mvc/equipamento/salvar HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:22 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:32 -0300] "GET /angularjs_spring_mvc/equipamento/recuperar/11 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:34 -0300] "GET /angularjs_spring_mvc/fabricante/listar HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/inicialEquipamento.html HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/angular-resource.js HTTP/1.1" 200 35267
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/angular-route.js HTTP/1.1" 200 38847
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:37 -0300] "GET /angularjs_spring_mvc/resources/js/angular-animate.js HTTP/1.1" 200 150567
