0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.min.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.maskMoney.js HTTP/1.1" 200 5070
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/app2.js HTTP/1.1" 200 4760
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/agendaController.js HTTP/1.1" 200 7921
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/equipamentoController.js HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/usuarioController.js HTTP/1.1" 200 5715
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/eventoController.js HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/dirPagination.js HTTP/1.1" 200 27701
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/angular-route.js HTTP/1.1" 200 38847
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/angular-animate.js HTTP/1.1" 200 150567
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:46 -0300] "GET /angularjs_spring_mvc/resources/js/angular-locale_pt-br.js HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:47 -0300] "GET /angularjs_spring_mvc/resources/js/angular-resource.js HTTP/1.1" 200 35267
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:49 -0300] "GET /angularjs_spring_mvc/evento/calendario.html HTTP/1.1" 200 19828
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:49 -0300] "GET /angularjs_spring_mvc/equipamento/list.html HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:49 -0300] "GET /angularjs_spring_mvc/resources/img/delete-icon.png HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:49 -0300] "GET /angularjs_spring_mvc/resources/img/edit-icon.png HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [20/Jul/2018:00:06:49 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 2
