0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/fabricanteController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/rotinaController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/dirPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/equipamentoController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/eventoController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/usuarioController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:01 -0300] "GET /angularjs_spring_mvc/equipamento/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:01 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-notify.js?_=1533519660358 HTTP/1.1" 200 13213
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:01 -0300] "GET /angularjs_spring_mvc/resources/img/edit-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:01 -0300] "GET /angularjs_spring_mvc/resources/img/delete-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:01 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 2
