0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/teste3.html HTTP/1.1" 200 19900
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/css/fullcalendar.min.css HTTP/1.1" 200 15714
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/css/personalizado.css HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/moment.min.js HTTP/1.1" 200 34737
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/css/bootstrap-datepicker.css HTTP/1.1" 200 17614
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/lang-all.js HTTP/1.1" 200 114256
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/agendaEventos.js HTTP/1.1" 200 19289
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/bootstrap-datepicker.min.js HTTP/1.1" 200 34181
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/css/fullcalendar.print.min.css HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:22 -0300] "GET /angularjs_spring_mvc/resourcesEvento2/javascript/fullcalendar.min.js HTTP/1.1" 200 98475
